"","parent","code"
"247","A00CC","A00CF"
"248","A00CC","A00CG"
"249","A00CC","A00CH"
"250","A009T","A00CJ"
"251","A00CJ","A00CK"
"252","A00CJ","A00CL"
"253","A00CJ","A00CM"
"254","A00CJ","A00CN"
"255","A00CJ","A00CP"
"256","A00CJ","A00CQ"
"257","A00CJ","A00CR"
"258","A00CR","A00CS"
"259","A00CR","A00CT"
"260","A04LJ","A00CY"
"261","A04LL","A00CZ"
"262","A04QY","A00DA"
"263","A04LL","A00DC"
"264","A04QY","A00DD"
"265","A04LJ","A00DF"
"266","A04LJ","A00DH"
"267","A00DH","A00DJ"
"268","A00DN","A00DK"
"269","A00DH","A00DL"
"270","A04LL","A00DM"
"271","A04QY","A00DN"
"272","A04LJ","A00DQ"
"273","A04LL","A00DR"
"274","A04QY","A00DS"
"275","A04LJ","A00DV"
"276","A04LL","A00DX"
"277","A04QY","A00DY"
"278","A04LJ","A00EA"
"279","A04LJ","A00EB"
"280","A04LJ","A00EC"
"281","A04LJ","A00ED"
"282","A04LL","A00EE"
"283","A04QY","A00EF"
"284","A04LJ","A00EH"
"285","A0EZF","A00EJ"
"286","A00EJ","A00EK"
"287","A00EJ","A00EL"
"288","A04QY","A00EM"
"289","A0EZF","A00EN"
"290","A041L","A00EP"
"291","A00EN","A00EQ"
"292","A00EN","A00ER"
"293","A00EN","A00ES"
"294","A00EN","A00ET"
"295","A00EN","A00EV"
"296","A00EN","A00EX"
"297","A0EZF","A00EY"
"298","A00EY","A00EZ"
"299","A00EY","A00FA"
"300","A0EQX","A00FC"
"301","A0EQX","A00FD"
"302","A0EQV","A00FE"
"303","A0EQX","A00FF"
"304","A005Y","A00FG"
"305","A06HL","A00FH"
"306","A07XJ","A00FL"
"307","A00FL","A00FM"
"308","A00FM","A00FN"
"309","A00FM","A00FP"
"310","A00FM","A00FQ"
"311","A0DLL","A00FR"
"312","A00FL","A00FS"
"313","A00KR","A00FT"
"314","A0DLG","A00FV"
"315","A00FT","A00FX"
"316","A00FX","A00FY"
"317","A00FX","A00FZ"
"318","A00FX","A00GA"
"319","A00FX","A00GB"
"320","A00FX","A00GC"
"321","A00FT","A00GD"
"322","A00KR","A00GE"
"323","A00GE","A00GF"
"324","A00GF","A00GG"
"325","A00GF","A00GH"
"326","A00GF","A00GJ"
"327","A00FM","A00GK"
"328","A00GE","A00GL"
"329","A00GL","A00GM"
"330","A00GL","A00GN"
"331","A00GL","A00GP"
"332","A00GL","A00GQ"
"333","A00GL","A00GR"
"334","A00GE","A00GS"
"335","A00GS","A00GT"
"336","A04RA","A00GV"
"337","A07XJ","A00GX"
"338","A00GX","A00GY"
"339","A00GY","A00GZ"
"340","A00HB","A00HA"
"341","A00GX","A00HB"
"342","A00HB","A00HC"
"343","A00HB","A00HD"
"344","A00HB","A00HE"
"345","A0DNB","A00HF"
"346","A00GX","A00HG"
"347","A00HG","A00HH"
"348","A00HH","A00HJ"
